Current Rank,Last Rank,Age,Academic score,Employer score,Faculty Student score,CitationsPerFaculty score,InternationalFaculty score,InternationalStudent score,Overall Score,color
  332 ,  357 ,4,7.4,9.9,76,44.7,45.8,31.4,32.0,blue
  336 ,  301 ,4,20.1,15.1,10.9,91.3,26.2,10.7,31.9,blue
  336 ,  357 ,4,17.2,5.7,87.2,21.7,43.6,7.3,31.9,blue
  338 ,  344 ,4,24.1,8.1,33.9,61.8,31.1,8.8,31.7,blue
  338 ,338,4,18.6,7.4,81.1,24.4,31.9,15.1,31.7,blue
  338 ,  388 ,5,18.5,67.4,11.5,56.3,44.5,33.3,31.7,blue
  338 ,  283 ,5,25.7,25.5,28.7,30,95,46.4,31.7,blue
  338 ,  367 ,5,31.4,32.3,28.1,40,22.6,22.4,31.7,blue
  343 ,379,3,17,34.4,43.9,33.5,75.7,39.7,31.6,blue
  343 ,  382 ,3,19.4,28.8,96.6,1.7,10.3,14.5,31.6,blue
  345 ,  352 ,5,28.2,24.9,31.5,34.3,40.5,50.1,31.5,blue
  345 ,  364 ,5,11.9,12.4,32.2,73,40.3,47.7,31.5,blue
  345 ,  391 ,5,16.4,6.9,66.8,43.7,26.8,14.1,31.5,blue
348,303,5,47.1,9.3,11.6,23.6,41,46.5,31.3,blue
349,  382 ,4,22.1,7.2,39.8,39.6,30.5,82.4,31.2,blue
350,390,3,17.2,22.7,57.6,11,100,62.9,31.1,blue
351,343,5,15.4,24.8,13.4,49.2,95.3,99.8,31.0,blue
  352 ,351,4,26.1,31.6,66.1,15.3,10.7,8.9,30.9,blue
  352 ,  367 ,4,12.5,6,100,21.6,3.5,14.4,30.9,blue
354,  334 ,4,16.4,30.8,95.3,1.7,9,24.4,30.8,blue
  355 ,  373 ,4,10.1,31.9,99.6,1,13.1,52.1,30.7,blue
  355 ,  347 ,4,20.3,13.8,19.9,35.9,99.9,99.7,30.7,blue
